Langue,Extension,Code,Nom de la carte,Rareté,1st Edition,Unlimited,Limited / Autre,Quantité,N° Artwork,Reprint
Français (France),BROL,BROL-FR088,Invitation des Ténèbres,U,NM,,,2,,
Français (France),BROL,BROL-FR089,Recherche de Fossiles,U,NM,,,2,,
Français (France),BROL,BROL-FR091,Force Chaos d'Argent Magie-Rang-Plus,U,NM,,,2,,
Français (France),BROL,BROL-FR092,Resurgam Xyz,U,NM,,,2,,
Français (France),BROL,BROL-FR093,Festin du Vide,U,NM,,,2,,
Français (France),GRCR,GRCR-FR007,Ukiyoe-P.U.N.K. Carpe Montante,R,NM,,,1,,
Français (France),GRCR,GRCR-FR009,Gagaku-P.U.N.K. Picking Sauvage,R,NM,,,1,,
Français (France),GRCR,GRCR-FR009,Gagaku-P.U.N.K. Picking Sauvage,R,NM,,,2,,
Français (France),GRCR,GRCR-FR010,Gagaku-P.U.N.K. Rythme Endiablé,R,NM,,,1,,
Français (France),GRCR,GRCR-FR012,Joruri-P.U.N.K. Surprise Nashiwari,R,NM,,,1,,
Français (France),GRCR,GRCR-FR014,Exosoeur Stella,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR015,Exosoeur Irène,R,NM,,,1,,
Français (France),GRCR,GRCR-FR019,Exosoeur Gibrine,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR020,Exosoeur Asophiel,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR022,Exosoeur Arment,R,NM,,,1,,
Français (France),GRCR,GRCR-FR023,Exosoeur Carpedivem,R,NM,,,1,,
Français (France),GRCR,GRCR-FR024,Exosoeur Vadis,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR027,Guerrier Maginerai des Reliques,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR028,Cavalier de Gryphon Errant,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR031,Papillon Étoilé,R,NM,,,1,,
Français (France),GRCR,GRCR-FR032,"Dracoback, le Dragon Chevauchable",R,NM,,,1,,
Français (France),GRCR,GRCR-FR036,Souffle de la Résurrection,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR038,Inzektor Frelon,R,NM,,,1,,
Français (France),GRCR,GRCR-FR041,Inzektor Sauterelle,R,NM,,,1,,
Français (France),GRCR,GRCR-FR043,Risebell l'Expert en Étoiles,R,NM,,,1,,
Français (France),GRCR,GRCR-FR043,Risebell l'Expert en Étoiles,R,NM,,,2,,
Français (France),GRCR,GRCR-FR044,Gokipole,R,NM,,,1,,
Français (France),GRCR,GRCR-FR045,Maniroue Psychique,R,NM,,,1,,
Français (France),GRCR,GRCR-FR046,Traqueur Psychique,R,NM,,,1,,
Français (France),GRCR,GRCR-FR047,Hime du Monde Virtuel - Nyannyan,R,NM,,,3,,
Français (France),GRCR,GRCR-FR048,Inzektor Exa-Scarabée,R,NM,,,1,,
Français (France),GRCR,GRCR-FR049,Inzektor Exa-Lucane,R,NM,,,2,,
Français (France),GRCR,GRCR-FR049,Inzektor Exa-Lucane,R,NM,,,1,,
Français (France),GRCR,GRCR-FR051,Inzektor Picofalena,SR,NM,,,1,,
Français (France),GRCR,GRCR-FR052,Imitation d'Insecte,R,NM,,,1,,
Français (France),GRCR,GRCR-FR053,Lien des Camarades,R,NM,,,1,,
Français (France),GRCR,GRCR-FR056,Épée Inzektor - Zektkalibur,R,NM,,,2,,
Français (France),GRCR,GRCR-FR057,Hommage Torrentiel,R,NM,,,2,,
Français (France),GRCR,GRCR-FR059,Assaut Solennel,R,NM,,,5,,
Français (France),BACH,BACH-FR002,Conjurateur Dimensionnel,C,NM,,,1,,
Français (France),BACH,BACH-FR005,Dictateur des D,SR,NM,,,1,,
Français (France),BACH,BACH-FR007,Aegirine Jadeglace,U,NM,,,1,,
Français (France),BACH,BACH-FR008,Martin-Pêcheur de Création Jadeglace,SR,NM,,,2,,
Français (France),BACH,BACH-FR010,Diplos Dinomorphia,C,NM,,,1,,
Français (France),BACH,BACH-FR010,Diplos Dinomorphia,C,NM,,,1,,
Français (France),BACH,BACH-FR011,"Gullinbursti, Bête Nordique",SR,NM,,,1,,
Français (France),BACH,BACH-FR012,"Ivaldi, Forgeron Nordique",SR,NM,,,2,,
Français (France),BACH,BACH-FR013,D/D Griffon,SR,NM,,,1,,
Français (France),BACH,BACH-FR014,Sirène Fantôruse,C,NM,,,1,,
Français (France),BACH,BACH-FR016,Lapcewell de la Force-S,C,NM,,,1,,
Français (France),BACH,BACH-FR017,Rétroactive de la Force-S,SR,NM,,,4,,
Français (France),BACH,BACH-FR018,"Neiroy, Traître du Miroir des Rêves",C,NM,,,1,,
Français (France),BACH,BACH-FR022,"Kaiza, l'Étoile Cachée",C,NM,,,3,,
Français (France),BACH,BACH-FR023,"Simorgh, l'Oiseau de la Perfection",C,NM,,,2,,
Français (France),BACH,BACH-FR024,Magicien Marron Expérimenté,C,NM,,,2,,
Français (France),BACH,BACH-FR025,Nephtys du Chaos,U,NM,,,1,,
Français (France),BACH,BACH-FR026,"Epigonen, l'Envahisseur Usurpateur",SR,NM,,,4,,
Français (France),BACH,BACH-FR027,Visite Guidée Submareed,C,NM,,,3,,
Français (France),BACH,BACH-FR028,"Alice, Dame de la Lamentation",SR,NM,,,2,,
Français (France),BACH,BACH-FR029,Plie Feuilleremplace,C,NM,,,1,,
Français (France),BACH,BACH-FR029,Plie Feuilleremplace,C,NM,,,3,,
Français (France),BACH,BACH-FR030,Hacker Fou,C,NM,,,3,,
Français (France),BACH,BACH-FR031,Senri Vignargentée,C,NM,,,3,,
Français (France),BACH,BACH-FR032,Piecephilia Brillant,C,NM,,,1,,
Français (France),BACH,BACH-FR036,Maître du Chaos,U,NM,,,1,,
Français (France),BACH,BACH-FR039,Stealthbergia Dinomorphia,SR,NM,,,2,,
Français (France),BACH,BACH-FR039,Stealthbergia Dinomorphia,SR,NM,,,1,,
Français (France),BACH,BACH-FR041,Souverain Sinistre de l'Âmépée - Qixing Longyuan,SCR,NM,,,1,,
Français (France),BACH,BACH-FR042,Demoiselle d'Érable,C,NM,,,2,,
Français (France),BACH,BACH-FR043,Soldat de la Dimension des Ténèbres,SR,NM,,,6,,
Français (France),BACH,BACH-FR046,Onibimaru le Balayeur d'Âmes,C,NM,,,5,,
Français (France),BACH,BACH-FR047,Festival Fantôruse,C,NM,,,1,,
Français (France),BACH,BACH-FR048,Vampire Fascinatrice,SR,NM,,,1,,
Français (France),BACH,BACH-FR052,Berceau Enion de Cénote Jadeglace,SR,NM,,,1,,
Français (France),BACH,BACH-FR053,Disciple Marqué,C,NM,,,1,,
Français (France),BACH,BACH-FR053,Disciple Marqué,C,NM,,,1,,
Français (France),BACH,BACH-FR054,Dogmatikamacabre,C,NM,,,2,,
Français (France),BACH,BACH-FR055,"Hlidskjálf, Relique Nordique",SR,NM,,,1,,
Français (France),BACH,BACH-FR056,Contrat des Ténèbres avec Licence de Brevet,SR,NM,,,1,,
Français (France),BACH,BACH-FR057,Tir Fantôruse,C,NM,,,1,,
Français (France),BACH,BACH-FR057,Tir Fantôruse,C,NM,,,1,,
Français (France),BACH,BACH-FR059,Radiation Ursarctique,U,NM,,,1,,
Français (France),BACH,BACH-FR061,Combinaison XYZ,SR,NM,,,2,,
Français (France),BACH,BACH-FR062,Nouveau Monde Transparent,C,NM,,,3,,
Français (France),BACH,BACH-FR063,Interdiction de Vente,SCR,NM,,,2,,
Français (France),BACH,BACH-FR064,Domination du Marché,C,NM,,,1,,
Français (France),BACH,BACH-FR065,Uradora du Destin,C,NM,,,2,,
Français (France),BACH,BACH-FR066,Érosion Jadeglace,C,NM,,,1,,
Français (France),BACH,BACH-FR067,Conflit Âmépée,C,NM,,,1,,
Français (France),BACH,BACH-FR069,Alerte Dinomorphia,C,NM,,,1,,
Français (France),BACH,BACH-FR072,Sonique Dinomorphia,C,NM,,,3,,
Français (France),BACH,BACH-FR074,"Svalinn, Relique Nordique",SR,NM,,,1,,
Français (France),BACH,BACH-FR075,D/D/D Chasseur de Têtes,C,NM,,,1,,
Français (France),BACH,BACH-FR076,Fantôruse ou Friandise,C,NM,,,1,,
Français (France),BACH,BACH-FR077,Renaissance de Monstre,C,NM,,,1,,
Français (France),BACH,BACH-FR078,Motivation de Tribu,C,NM,,,4,,
Français (France),BACH,BACH-FR079,Intrusion Imprudente,C,NM,,,2,,
Français (France),BACH,BACH-FR080,Fin de la Ligne,C,NM,,,1,,
Français (France),BACH,BACH-FR081,Dragonpiqûre,U,NM,,,1,,
Français (France),BACH,BACH-FR083,Écailles de Pierre,C,NM,,,2,,
Français (France),BACH,BACH-FR084,Le Grand Double Casting de Lanceurs,C,NM,,,1,,
Français (France),BACH,BACH-FR085,Sol et Luna,U,NM,,,1,,
Français (France),BACH,BACH-FR086,Magifille Libromancienne,SR,NM,,,2,,
Français (France),BACH,BACH-FR087,Espion Libromancien,SR,NM,,,3,,
Français (France),BACH,BACH-FR088,Firestarter Libromancien,SR,NM,,,2,,
Français (France),BACH,BACH-FR089,Doombroker Libromancien,U,NM,,,1,,
Français (France),BACH,BACH-FR090,Première Apparition Libromancienne,U,NM,,,1,,
Français (France),BACH,BACH-FR091,Intervention Libromancienne,SR,NM,,,3,,
Français (France),BACH,BACH-FR093,Monstre Poupée Miss Mädchen,C,NM,,,4,,
Français (France),BACH,BACH-FR094,Monstre Poupée Ours-Ours,C,NM,,,2,,
Français (France),BACH,BACH-FR095,Moustique de Fumée,C,NM,,,1,,
Français (France),BACH,BACH-FR095,Moustique de Fumée,C,NM,,,2,,
Français (France),BACH,BACH-FR096,Nowru Aries le Dragon Vernal,C,NM,,,1,,
Français (France),BACH,BACH-FR097,"Groza, Tyran du Tonnerre",C,NM,,,1,,
Français (France),BACH,BACH-FR097,"Groza, Tyran du Tonnerre",C,NM,,,2,,
Français (France),BACH,BACH-FR098,Bonheur de Poupée,C,NM,,,1,,
Français (France),BACH,BACH-FR099,Potion Souriante,C,NM,,,1,,
Français (France),OP18,OP18-FR006,Chevalier Kagemucha,SR,NM,,,1,,
Français (France),OP18,OP18-FR007,Contact Cancrelat,SR,NM,,,1,,
Français (France),OP18,OP18-FR008,Collectionneur de Jetons,SR,,NM,,1,,
Français (France),OP18,OP18-FR008,Collectionneur de Jetons,SR,NM,,,1,,
Français (France),OP18,OP18-FR010,Les Chevaliers Fantômes de l'Épée Brisée,SR,,NM,,1,,
Français (France),OP18,OP18-FR011,Inzektor Picofalena,SR,NM,,,1,,
Français (France),OP18,OP18-FR013,Manju des Dix Mille Mains,C,NM,,,1,,
Français (France),OP18,OP18-FR016,Les Chevaliers Fantômes des Bottes Silencieuses,C,NM,,,1,,
Français (France),OP18,OP18-FR018,Familier Vampire,C,NM,,,1,,
Français (France),OP18,OP18-FR019,Domestique Vampire,C,NM,,,1,,
Français (France),OP18,OP18-FR020,Talismandra Lutincantation,C,NM,,,1,,
Français (France),OP18,OP18-FR021,Crayonplume Lutincantation,C,NM,,,1,,
Français (France),HAC1,HAC1-FR001,Dragon Blanc aux Yeux Bleus,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR002,Magicien Sombre,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR003,Dragon Noir aux Yeux Rouges,UDT,NM,,,2,,
Français (France),HAC1,HAC1-FR005,Kuriboh,C,NM,,,1,,
Français (France),HAC1,HAC1-FR009,Agresseur Nocturne,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR013,Kuriboh Ailé,C,NM,,,1,,
Français (France),HAC1,HAC1-FR014,Cyber Dragon,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR017,Dragon Sombre Métallique aux Yeux Rouges,C,NM,,,1,,
Français (France),HAC1,HAC1-FR022,Polymérisation,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR024,Le Livre de la Lune,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR027,Tornade de Poussière,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR027,Tornade de Poussière,C,NM,,,1,,
Français (France),HAC1,HAC1-FR029,"Blizz, Défenseur de la Barrière de Glace",C,NM,,,1,,
Français (France),HAC1,HAC1-FR030,Guerrier du Blizzard,C,NM,,,2,,
Français (France),HAC1,HAC1-FR031,Sorcier de la Barrière de Glace,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR031,Sorcier de la Barrière de Glace,C,NM,,,2,,
Français (France),HAC1,HAC1-FR032,Chevalier Royal de la Barrière de Glace,C,NM,,,1,,
Français (France),HAC1,HAC1-FR033,Grand Prêtre de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR034,Oracle de la Barrière de Glace,C,NM,,,5,,
Français (France),HAC1,HAC1-FR035,Pèlerin de la Barrière de Glace,C,NM,,,5,,
Français (France),HAC1,HAC1-FR036,Thaumaturge de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR037,Troupes de Choc de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR038,Samouraï de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR039,Rosée des Ténèbres de la Barrière de Glace,C,NM,,,4,,
Français (France),HAC1,HAC1-FR040,Caravane de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR041,Archimage de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR042,Général Grunard de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR043,Défenseur de la Barrière de Glace,CDT,NM,,,2,,
Français (France),HAC1,HAC1-FR043,Défenseur de la Barrière de Glace,C,NM,,,1,,
Français (France),HAC1,HAC1-FR044,Démoniste de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR045,Esprit Sacré de la Barrière de Glace,C,NM,,,2,,
Français (France),HAC1,HAC1-FR046,"Raiho, Général de la Barrière de Glace",C,NM,,,2,,
Français (France),HAC1,HAC1-FR047,Stratège de la Barrière de Glace,C,NM,,,5,,
Français (France),HAC1,HAC1-FR048,Gardes Secrets de la Barrière de Glace,C,NM,,,1,,
Français (France),HAC1,HAC1-FR049,"Gantala, Général de la Barrière de Glace",C,NM,,,1,,
Français (France),HAC1,HAC1-FR050,Princesse Dansante de la Barrière de Glace,C,NM,,,3,,
Français (France),HAC1,HAC1-FR051,"Brionac, Dragon de la Barrière de Glace",UDT,NM,,,3,,
Français (France),HAC1,HAC1-FR052,"Dewloren, Tigre-Roi de la Barrière de Glace",UDT,NM,,,2,,
Français (France),HAC1,HAC1-FR057,Shaman de la Vallée de Brume,C,NM,,,1,,
Français (France),HAC1,HAC1-FR059,Oisillion de la Vallée de Brume,C,NM,,,1,,
Français (France),HAC1,HAC1-FR060,Exécuteur de la Vallée de Brume,C,NM,,,1,,
Français (France),HAC1,HAC1-FR062,Apex Aviaire de la Vallée de Brume,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR063,Roi du Tonnerre de la Vallée de Brume,C,NM,,,1,,
Français (France),HAC1,HAC1-FR065,Dragon de la Cloche de Feu,C,NM,,,1,,
Français (France),HAC1,HAC1-FR067,Grunika de la Cloche de Feu,C,NM,,,1,,
Français (France),HAC1,HAC1-FR072,Garuda de la Néo Cloche de Feu,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR074,Urkisass de la Cloche de Feu,C,NM,,,1,,
Français (France),HAC1,HAC1-FR077,Intelligence Artificielle des Alliés,C,NM,,,1,,
Français (France),HAC1,HAC1-FR079,"Rudra, Allié de la Justice",C,NM,,,1,,
Français (France),HAC1,HAC1-FR081,"Patrouilleur, Allié de la Justice",C,NM,,,1,,
Français (France),HAC1,HAC1-FR085,"Foreuse Thermique, Allié de la Justice",CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR087,"Arsenal Ultime, Allié de la Justice",C,NM,,,1,,
Français (France),HAC1,HAC1-FR093,Scarabée Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR094,Pierre Naturia,CDT,,NM,,1,,
Français (France),HAC1,HAC1-FR096,Liane Naturia,C,NM,,,3,,
Français (France),HAC1,HAC1-FR097,Margoulette la Fourmi Naturia,C,NM,,,2,,
Français (France),HAC1,HAC1-FR101,Libellule Naturia,C,NM,,,2,,
Français (France),HAC1,HAC1-FR101,Libellule Naturia,CDT,,NM,,1,,
Français (France),HAC1,HAC1-FR107,Hortensia Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR108,Papillon Naturia,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR109,Coccinelle Naturia,C,NM,,,2,,
Français (France),HAC1,HAC1-FR110,Fraise Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR114,Ambroisie Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR114,Ambroisie Naturia,CDT,,NM,,1,,
Français (France),HAC1,HAC1-FR117,Citrouille Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR123,Landoise Naturia,C,NM,,,1,,
Français (France),HAC1,HAC1-FR123,Landoise Naturia,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR124,Lurrie Mythologique,C,NM,,,2,,
Français (France),HAC1,HAC1-FR127,Kushano Mythologique,C,NM,,,1,,
Français (France),HAC1,HAC1-FR128,Urustos Mythologique,C,NM,,,2,,
Français (France),HAC1,HAC1-FR136,Chawa le Mythologique,C,NM,,,1,,
Français (France),HAC1,HAC1-FR139,Ganashia le Mythologique,C,NM,,,2,,
Français (France),HAC1,HAC1-FR140,Nozoochee le Mythologique,C,NM,,,1,,
Français (France),HAC1,HAC1-FR142,Kokkator le Mythologique,C,NM,,,1,,
Français (France),HAC1,HAC1-FR143,Dianaira Mythologique,C,NM,,,1,,
Français (France),HAC1,HAC1-FR153,Phalanx Dragunité,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR154,Militum Dragunité,C,NM,,,1,,
Français (France),HAC1,HAC1-FR166,Larve de Brume,UDT,NM,,,1,,
Français (France),HAC1,HAC1-FR170,Explosion d'Évolution,C,NM,,,1,,
Français (France),HAC1,HAC1-FR171,Nid d'Hirondelle,CDT,NM,,,1,,
Français (France),HAC1,HAC1-FR172,Hallebarde Dragunité,SCR,,,NM,1,,
Français (France),HAC1,HAC1-FR178,Formule Synchronique,SCR,,,NM,1,,
Français (France),SGX1,SGX1-FRA01,"Avian, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA01,"Avian, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA02,"Burstinatrix, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA02,"Burstinatrix, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA03,"Clayman, HÉROS Élémentaire",C,NM,,,2,,
Français (France),SGX1,SGX1-FRA03,"Clayman, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA04,"Sparkman, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA04,"Sparkman, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA05,Déesse au 3ème Oeil,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA05,Déesse au 3ème Oeil,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA06,Kuriboh Ailé,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA06,Kuriboh Ailé,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA07,Wroughtweiller,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA07,Wroughtweiller,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA08,"Bubbleman, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA08,"Bubbleman, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA09,"Tranchant, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA09,"Tranchant, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA10,"Coeur Farouche, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA10,"Coeur Farouche, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA11,"Nécrombre, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA11,"Nécrombre, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA12,Polymérisation,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA12,Polymérisation,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA12,Polymérisation,SCR,NM,,,1,,
Français (France),SGX1,SGX1-FRA13,Sage Fusion,C,NM,,,2,,
Français (France),SGX1,SGX1-FRA13,Sage Fusion,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA14,Renfort de l'Armée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA14,Renfort de l'Armée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA15,Gratte-Ciel,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA15,Gratte-Ciel,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA16,Récupération de Fusion,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA16,Récupération de Fusion,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA17,R - Justice Vertueuse,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA17,R - Justice Vertueuse,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA18,Annulation d'Attaque,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA18,Annulation d'Attaque,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA19,Un Héros Surgit,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA19,Un Héros Surgit,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA20,Signal du Héros,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA20,Signal du Héros,C,NM,,,1,,
Français (France),SGX1,SGX1-FRA21,"Homme-Oiseau de Feu, HÉROS Élémentaire",SCR,NM,,,1,,
Français (France),SGX1,SGX1-FRA21,"Homme-Oiseau de Feu, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA21,"Homme-Oiseau de Feu, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA22,"Géant du Tonnerre, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA22,"Géant du Tonnerre, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA23,"Artilleur du Rempart, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA23,"Artilleur du Rempart, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA24,"Vapoguérisseur, HÉROS Élémentaire",C,NM,,,2,,
Français (France),SGX1,SGX1-FRA24,"Vapoguérisseur, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA25,"Darkbright, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA25,"Darkbright, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA26,"Anti Plasma, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRA26,"Anti Plasma, HÉROS Élémentaire",C,NM,,,1,,
Français (France),SGX1,SGX1-FRB01,Plasma - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB01,Plasma - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB02,Seigneur de la Damnation - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB02,Seigneur de la Damnation - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB03,Dandy au Diamant - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB03,Dandy au Diamant - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB04,Fine Lame - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB04,Fine Lame - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB05,Fonceur - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB05,Fonceur - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB06,Marchand de Peur - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB06,Marchand de Peur - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB07,Dogma - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB07,Dogma - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB08,Malveillant - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB08,Malveillant - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB09,Ange Noir - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB09,Ange Noir - HÉROS de la Destinée,C,NM,,,2,,
Français (France),SGX1,SGX1-FRB10,Polymérisation,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB11,Renfort de l'Armée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB12,Murasame l'Épée de Fusion,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB12,Murasame l'Épée de Fusion,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB13,Ville Ténébreuse,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB13,Ville Ténébreuse,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB14,Esprit de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB14,Esprit de la Destinée,C,NM,,,2,,
Français (France),SGX1,SGX1-FRB15,Destinée Supérieure,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB15,Destinée Supérieure,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB16,Rayon Nocturne,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB16,Rayon Nocturne,C,NM,,,2,,
Français (France),SGX1,SGX1-FRB17,Signal de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB17,Signal de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB18,Chaîne de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB18,Chaîne de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB19,Contre Attaque D,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB19,Contre Attaque D,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB20,Soldat Dragon de l'Ultime Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB20,Soldat Dragon de l'Ultime Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB21,Dangereux - HÉROS de la Destinée,C,NM,,,1,,
Français (France),SGX1,SGX1-FRB21,Dangereux - HÉROS de la Destinée,C,NM,,,2,,
Français (France),SGX1,SGX1-FRC01,Ojama Jaune,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC01,Ojama Jaune,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC02,Ojama Vert,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC02,Ojama Vert,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC03,Ojama Noir,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC03,Ojama Noir,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC04,Tigre Jet V,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC04,Tigre Jet V,C,NM,,,1,,
Français (France),SGX1,SGX1-FRC05,Chiron le Mage,C,NM,,,4,,
Français (France),SGX1,SGX1-FRC05,Chiron le Mage,C,NM,,,1,,
